ID,unit_address_as_provided,ADDRESS,state,city,zip_code,rent
1,"2613 Grand Canyon Mckinney, TX 75072-2332",2613 Grand Canyon Ct,TX,Mckinney,75072,2001
2,"829 Barcelona Mesquite, TX 75150-4389",829 Barcelona Cir,TX,Mesquite,75150,1719
3,"7404 Rutgers #A Rowlett, TX 75088-8552",7404 Rutgers Cir,TX,Rowlett,75088,1812
4,"7404 Rutgers #B Rowlett, TX 75088-8552",7404 Rutgers Cir,TX,Rowlett,75088,1812
5,"322 Antler Court Lewisville, TX 75067-6505",322 Antler Ct,TX,Lewisville,75067,2046
6,"7121 Starnes Road North Richland Hills, TX 76182-7721",7121 Starnes Rd,TX,North Richland Hills,76182,1991
7,"1401 Paris Grand Prairie, TX 75050-3264",1401 Paris Dr,TX,Grand Prairie,75050,1840
8,"1336 Lakecrest Lewisville, TX 75057-2615",1336 Lake Crest Ln,TX,Lewisville,75057,1669
9,"1320 Lakecrest Ln Lewisville, TX 75057-2615",1320 Lake Crest Ln,TX,Lewisville,75057,1669
10,"1433 Lakecrest Lewisville, TX 75057-2670",1433 Lake Crest Ln,TX,Lewisville,75057,1681
11,"2417 Stone Creek Plano, TX 75075-2941",2417 Stone Creek Dr,TX,Plano,75075,2372
12,"3005 Saddlehead Plano, TX 75075-1529",3005 Saddlehead Dr,TX,Plano,75075,2377
13,"280 Meadowcrest Terrell, TX 75160-5109",280 Meadowcrest Dr,TX,Terrell,75160,1666
14,"1103 Alexandria Forney, TX 75126",1103 Alexandria Dr,TX,Forney,75126,1807
15,"14433 Serrano Ridge Road Haslet, TX 76052-5855",14433 Serrano Ridge Rd,TX,Haslet,76052,1912
16,"1233 Candler Drive Lancaster, TX 75134-4603",1233 Candler Dr,TX,Lancaster,75134,1742
17,"117 Charles St Desoto, TX 75115-3925",117 Charles St,TX,Desoto,75115,1725
18,"502 Shockley Desoto, TX 75115-3314",502 Shockley Ave,TX,Desoto,75115,1850
19,"14264 Chaps Dr Dallas, TX 75253",14264 Chaps Dr,TX,Dallas,75253,1770
20,"15603 Danson Dr Dallas, TX 75253-5797",15603 Danson Dr,TX,Dallas,75253,1841
21,"15635 Gatsby Ln Dallas, TX 75253-5798",15635 Gatsby Ln,TX,Dallas,75253,1840
22,"8345 O Hara Lane Fort Worth, TX 76123-1505",8345 Ohara Ln,TX,Fort Worth,76123,1815
23,"409 Kelley Fort Worth, TX 76120-1721",409 Kelley Ct,TX,Fort Worth,76120,1714
24,"7632 Craig Street Fort Worth, TX 76112-7304",7632 Craig St,TX,Fort Worth,76112,1656
25,"1102 Jefferson St #A Mckinney, TX 75069-6445",1102 Jefferson St,TX,Mckinney,75069,1750
26,"8805 Millwood Rowlett, TX 75088-4410",8805 Millwood Dr,TX,Rowlett,75088,1983
27,"2008 Apollo Richardson, TX 75081-3225",2008 Apollo Rd,TX,Richardson,75081,2324
28,"7605 Harbor Rowlett, TX 75088-5329",7605 Harbor Dr,TX,Rowlett,75088,1668
29,"2704 14th St Plano, TX 75074-6628",2704 14 St,TX,Plano,75074,1540
30,"8205 Benares Dallas, TX 75243-3629",8205 Benares Dr,TX,Dallas,75243,1547
31,"2042 Cardinal Lane Lewisville, TX 75077-1753",2042 Cardinal Ln,TX,Lewisville,75077,1979
32,"1332 Lakecrest Ln Lewisville, TX 75057-2615",1332 Lake Crest Ln,TX,Lewisville,75057,1668
33,"1304 Lakecrest Ln Lewisville, TX 75057-2615",1304 Lake Crest Ln,TX,Lewisville,75057,1676
34,"1408 Lakecrest Ln Lewisville, TX 75057-2669",1408 Lake Crest Ln,TX,Lewisville,75057,1683
35,"5645 Perrin Street The Colony, TX 75056-1946",5645 Perrin St,TX,The Colony,75056,1707
36,"815 S Willow Sherman, TX 75090-8131",815 S Willow St,TX,Sherman,75090,1453
37,"278 Meadowcrest Terrell, TX 75160-5109",278 Meadowcrest Dr,TX,Terrell,75160,1671
38,"1821 Ridgecrest Terrell, TX 75160-5115",1821 Ridgecrest Dr,TX,Terrell,75160,1563
39,"1941 Cross Oaks Lancaster, TX 75146-2041",1941 Cross Oaks Dr,TX,Lancaster,75146,1795
40,"1422 Cascade St Mesquite, TX 75149-2358",1422 Cascade St,TX,Mesquite,75149,1558
41,"617 Braden Mesquite, TX 75149-4046",617 Braden St,TX,Mesquite,75149,1536
42,"927 Ranch Dallas, TX 75253-5051",927 Ranch Rd,TX,Dallas,75253,1758
43,"7826 Arkan Parkway Dallas, TX 75241-5341",7826 Arkan Pkwy,TX,Dallas,75241,1630
44,"2802 Tenison Ennis, TX 75119-7734",2802 Tenison Dr,TX,Ennis,75119,1835
45,"9217 Abaco Way Fort Worth, TX 76123-3599",9217 Abaco Way,TX,Fort Worth,76123,1803
46,"3516 Aruba Fort Worth, TX 76123-3527",3516 Aruba Ln,TX,Fort Worth,76123,1766
47,"1321 Lyra Ln Arlington, TX 76013-8312",1321 Lyra Ln,TX,Arlington,76013,2874
48,"1525 Bardfield Garland, TX 75041-4918",1525 Bardfield Ave,TX,Garland,75041,1647
49,"11026 McCree Dallas, TX 75238-3033",11026 Mccree Rd,TX,Dallas,75238,2454
50,"601 Eastern Star Garland, TX 75040-5125",601 Eastern Star Dr,TX,Garland,75040,1636
51,"6517 Cypress Rockwall, TX 75087-4517",6517 Cypress Ln,TX,Rockwall,75087,1833
52,"7409 Rutgers #A Rowlett, TX 75088-8552",7409 Rutgers Cir,TX,Rowlett,75088,2170
53,"7409 Rutgers #B Rowlett, TX 75088-8552",7409 Rutgers Cir,TX,Rowlett,75088,2170
54,"4016 Bandera Plano, TX 75074-3802",4016 Bandera Dr,TX,Plano,75074,2187
55,"1650 Belltower Drive Lewisville, TX 75067-3201",1650 Belltower Dr,TX,Lewisville,75067,2014
56,"1340 Lakecrest Ln Lewisville, TX 75057-2615",1340 Lake Crest Ln,TX,Lewisville,75057,1671
57,"1312 Lakecrest Ln Lewisville, TX 75057-2615",1312 Lake Crest Ln,TX,Lewisville,75057,1669
58,"1432 Lakecrest Lewisville, TX 75057-2669",1432 Lake Crest Ln,TX,Lewisville,75057,1681
59,"15652 Gatsby Ln Dallas, TX 75253-5838",15652 Gatsby Ln,TX,Dallas,75253,1720
60,"14325 Wrangler Dallas, TX 75253-4956",14325 Wrangler Way,TX,Dallas,75253,1985
61,"15634 Gatsby Ln Dallas, TX 75253-5838",15634 Gatsby Ln,TX,Dallas,75253,1711
62,"203 Martin Luther Duncanville, TX 75116-4028",203 Martin Luther Cir,TX,Duncanville,75116,1761
